Velocity u [ m s^-1 ],Y [ m ]
0.00000000e+00, 0.00000000e+00
-2.68168296e-05, 2.56410260e-02
-5.10585305e-05, 5.12820520e-02
-7.34899877e-05, 7.69230798e-02
-9.46550863e-05, 1.02564104e-01
-1.15009010e-04, 1.28205135e-01
-1.34893489e-04, 1.53846160e-01
-1.54556968e-04, 1.79487184e-01
-1.74144021e-04, 2.05128208e-01
-1.93691827e-04, 2.30769232e-01
-2.13121821e-04, 2.56410271e-01
-2.32232152e-04, 2.82051295e-01
-2.50692130e-04, 3.07692319e-01
-2.68043455e-04, 3.33333343e-01
-2.83709029e-04, 3.58974367e-01
-2.97013670e-04, 3.84615391e-01
-3.07222421e-04, 4.10256416e-01
-3.13584111e-04, 4.35897440e-01
-3.15373705e-04, 4.61538464e-01
-3.11954471e-04, 4.87179488e-01
-3.02834524e-04, 5.12820542e-01
-2.87708361e-04, 5.38461566e-01
-2.66482035e-04, 5.64102590e-01
-2.39273897e-04, 5.89743614e-01
-2.06392971e-04, 6.15384638e-01
-1.68282335e-04, 6.41025662e-01
-1.25429127e-04, 6.66666687e-01
-7.82416755e-05, 6.92307711e-01
-2.68993499e-05, 7.17948735e-01
2.88473711e-05, 7.43589759e-01
8.99257429e-05, 7.69230783e-01
1.58239214e-04, 7.94871807e-01
2.37005268e-04, 8.20512831e-01
3.30983225e-04, 8.46153855e-01
4.46402497e-04, 8.71794879e-01
5.90227137e-04, 8.97435904e-01
7.68392580e-04, 9.23076928e-01
9.82530066e-04, 9.48717952e-01
1.22600968e-03, 9.74358976e-01
1.47999998e-03, 1.00000000e+00
