Velocity u [ m s^-1 ],Y [ m ]
0.00000000e+00, 0.00000000e+00
-1.94784312e-04, 2.56410260e-02
-3.78642813e-04, 5.12820520e-02
-5.62365167e-04, 7.69230798e-02
-7.52602122e-04, 1.02564104e-01
-9.52155679e-04, 1.28205135e-01
-1.15833653e-03, 1.53846160e-01
-1.36281515e-03, 1.79487184e-01
-1.55232917e-03, 2.05128208e-01
-1.71086984e-03, 2.30769232e-01
-1.82317384e-03, 2.56410271e-01
-1.87958893e-03, 2.82051295e-01
-1.87697285e-03, 3.07692319e-01
-1.81617320e-03, 3.33333343e-01
-1.70481019e-03, 3.58974367e-01
-1.55613082e-03, 3.84615391e-01
-1.38395326e-03, 4.10256416e-01
-1.20023650e-03, 4.35897440e-01
-1.01332855e-03, 4.61538464e-01
-8.27818876e-04, 4.87179488e-01
-6.45287219e-04, 5.12820542e-01
-4.65372927e-04, 5.38461566e-01
-2.86652881e-04, 5.64102590e-01
-1.07462212e-04, 5.89743614e-01
7.32442786e-05, 6.15384638e-01
2.56033527e-04, 6.41025662e-01
4.41176147e-04, 6.66666687e-01
6.28068577e-04, 6.92307711e-01
8.15196079e-04, 7.17948735e-01
1.00037851e-03, 7.43589759e-01
1.18091167e-03, 7.69230783e-01
1.35395443e-03, 7.94871807e-01
1.51772890e-03, 8.20512831e-01
1.67489587e-03, 8.46153855e-01
1.84109225e-03, 8.71794879e-01
2.06253282e-03, 8.97435904e-01
2.44235224e-03, 9.23076928e-01
3.15031176e-03, 9.48717952e-01
4.34368104e-03, 9.74358976e-01
5.90000022e-03, 1.00000000e+00
