X [ m ],Velocity v [ m s^-1 ]
0.00000000e+00, 0.00000000e+00
2.56410260e-02, 5.24149626e-04
5.12820520e-02, 8.98869184e-04
7.69230798e-02, 1.16043596e-03
1.02564104e-01, 1.34461047e-03
1.28205135e-01, 1.47976517e-03
1.53846160e-01, 1.58205326e-03
1.79487184e-01, 1.65727432e-03
2.05128208e-01, 1.70471112e-03
2.30769232e-01, 1.72117585e-03
2.56410271e-01, 1.70376734e-03
2.82051295e-01, 1.65126531e-03
3.07692319e-01, 1.56456325e-03
3.33333343e-01, 1.44688669e-03
3.58974367e-01, 1.30335940e-03
3.84615391e-01, 1.14003569e-03
4.10256416e-01, 9.63084283e-04
4.35897440e-01, 7.78034911e-04
4.61538464e-01, 5.89257921e-04
4.87179488e-01, 3.99741519e-04
5.12820542e-01, 2.11150676e-04
5.38461566e-01, 2.40612990e-05
5.64102590e-01, -1.61787932e-04
5.89743614e-01, -3.47312540e-04
6.15384638e-01, -5.34142542e-04
6.41025662e-01, -7.24876882e-04
6.66666687e-01, -9.23305110e-04
6.92307711e-01, -1.13443553e-03
7.17948735e-01, -1.36372738e-03
7.43589759e-01, -1.61457364e-03
7.69230783e-01, -1.88312971e-03
7.94871807e-01, -2.15076655e-03
8.20512831e-01, -2.37810891e-03
8.46153855e-01, -2.50902236e-03
8.71794879e-01, -2.47898418e-03
8.97435904e-01, -2.23678909e-03
9.23076928e-01, -1.77222572e-03
9.48717952e-01, -1.15374767e-03
9.74358976e-01, -5.19181835e-04
1.00000000e+00, -7.31475470e-12
